"Population","Latitude","Longitude","Median_house_value","Median_household_income","Mean_household_income"
1974,37.84829,-122.2495,909.6,111667,195229
4865,37.84027,-122.2544,748.7,66094,105877
3703,37.84845,-122.2573,773.6,87306,106248
1571,37.84223,-122.2649,480.8,55658,73933
3594,37.84539,-122.2831,473.5,52837,66822
2302,37.83928,-122.2803,439.3,59091,59690
4156,37.82996,-122.2634,467.2,44140,56674
2416,37.83099,-122.258,591.2,59554,81476
3528,37.8165,-122.2679,352.4,31080,45789
4314,37.8199,-122.2733,322.7,30777,38234
2163,37.81667,-122.2796,321.6,37679,47593
1784,37.80498,-122.2852,285.5,21571,36145
1151,37.80478,-122.2797,356,22531,45619
3345,37.80866,-122.2727,324.1,21993,41640
2238,37.8011,-122.2765,407.1,42625,56426
4146,37.80346,-122.2637,452.3,42358,61668
4374,37.81732,-122.2599,351.7,33635,51389
3584,37.81737,-122.2491,426.9,61995,85867
2819,37.82245,-122.2525,429.8,61632,71972
2929,37.83035,-122.2506,682.2,73899,94146
3483,37.83758,-122.2297,918.9,152853,198644
5314,37.84468,-122.2158,857.4,133347,165338
4353,37.82421,-122.1927,836,147778,189849
1954,37.81215,-122.2075,770.8,137232,138297
4129,37.80394,-122.2215,599.4,65158,94377
3136,37.80824,-122.2257,721.2,108472,133830
4197,37.8115,-122.2324,890.7,166554,212536
2603,37.80221,-122.2514,438,61750,73818
3114,37.79339,-122.2458,320.4,30534,42939
3035,37.79099,-122.241,332.8,38523,43573
4718,37.78201,-122.2267,381.4,25417,40365
2145,37.79439,-122.2218,405.1,48694,56143
5930,37.78839,-122.2171,342.1,34669,53048
4596,37.79354,-122.2083,384.9,49357,53550
3428,37.79699,-122.1957,524.9,72568,86191
3719,37.79256,-122.1917,556.5,77097,110022
3414,37.78307,-122.2148,352.3,29432,47516
3954,37.77099,-122.2069,293.5,36552,53311
3931,37.76942,-122.1976,392.6,26848,35926
6027,37.77719,-122.2036,416.2,47388,58782
4109,37.77636,-122.1933,425.8,69637,82043
2425,37.78202,-122.1896,413.9,60469,71105
2671,37.80207,-122.182,717.6,115729,134553
4054,37.77462,-122.1761,399.3,50186,61334
4167,37.77029,-122.1649,391.7,52075,69759
7207,37.76833,-122.1898,317.4,40680,46500
5547,37.75944,-122.1967,347.3,22587,32622
3552,37.73492,-122.1888,275,35357,45816
2255,37.73207,-122.1833,268.4,59655,68738
3152,37.72941,-122.1782,283.1,40766,45616
5229,37.73836,-122.1723,329.9,33934,46437
4696,37.75562,-122.1657,264.9,35658,43381
2887,37.75936,-122.1577,404.2,40189,64829
2406,37.74763,-122.1539,370.4,41250,59405
3062,37.74576,-122.1575,262.5,40474,51661
2355,37.89463,-122.2909,704.2,117000,133285
4571,37.89266,-122.3036,520.6,70242,87488
3844,37.89113,-122.2817,871.6,116200,154589
3558,37.8835,-122.2574,901.3,121111,141483
3198,37.88146,-122.2703,699.1,80491,99156
2007,37.87999,-122.2778,694.1,82917,105929
1756,37.86651,-122.2974,489.4,49773,72239
3144,37.87252,-122.2881,608.8,54083,87386
3387,37.874,-122.2775,638.8,48776,71676
4196,37.87522,-122.2693,623,39083,60120
4658,37.8769,-122.2599,640.3,45875,77900
8368,37.86672,-122.2589,350,25145,28492
3647,37.85737,-122.2839,541.8,53587,69354
4685,37.8582,-122.2759,554,38860,64697
5659,37.86353,-122.2588,583.3,35589,52798
3716,37.85029,-122.2748,587.5,43810,54286
3175,37.83305,-122.2809,329.9,50682,59392
4896,37.77819,-122.2679,599.6,64390,95101
4722,37.77798,-122.2837,526,47460,56864
4640,37.77201,-122.2693,657.6,77287,98438
4567,37.77024,-122.2578,712.9,72366,99066
4651,37.76008,-122.2351,662.9,84342,97979
3183,37.76037,-122.259,601.3,64784,81277
2285,37.7209,-122.0495,684.5,127344,137432
3670,37.71563,-122.0816,642,100156,128783
6049,37.70171,-122.1059,545.5,65750,79627
5887,37.7036,-122.0967,587.3,86250,113495
5394,37.69901,-122.0657,490.9,78015,86983
4681,37.69837,-122.0835,443.1,51650,65844
2714,37.69314,-122.0781,387.3,56181,64661
3770,37.7361,-122.1473,464,93220,100372
4080,37.73214,-122.1564,479.9,57400,75951
5814,37.70711,-122.1822,417.9,58807,69723
4839,37.71745,-122.1664,451.7,54113,69996
4485,37.7244,-122.172,427.9,72045,81636
2478,37.72687,-122.1429,509,81613,97866
3832,37.71523,-122.135,399.1,71271,82010
3530,37.7098,-122.1379,453,43078,45186
3760,37.71571,-122.1462,332.1,54772,70893
6897,37.69719,-122.1407,428.4,56517,67325
6834,37.69616,-122.1549,438.9,67017,80571
5978,37.68566,-122.145,393.7,53937,67468
3182,37.68706,-122.1138,332.3,58351,64528
6599,37.69849,-122.1129,281.3,44106,50639
4884,37.69271,-122.1108,305.6,39567,56441
5179,37.65517,-122.0442,598.3,107625,110460
6403,37.67275,-122.0303,758.5,136000,155885
5216,37.63228,-122.0489,434.7,55975,67402
4503,37.67372,-122.0828,315.4,48873,64247
3725,37.68042,-122.0927,335.6,45241,53805
4557,37.66886,-122.137,397.7,74228,79464
5261,37.67213,-122.123,383.6,63438,67693
7129,37.6671,-122.0909,371.8,53776,64589
4571,37.6513,-122.0848,404.6,52854,59693
3284,37.66208,-122.1004,290.4,60542,66046
6724,37.6615,-122.1098,373,51549,63200
3111,37.636,-122.0935,367.2,53068,73938
4256,37.63824,-122.0733,353.2,36392,43018
4621,37.64343,-122.0687,371.4,77738,90286
2338,37.64177,-122.0601,415.2,49135,58548
3283,37.61785,-122.0299,466.9,69258,89050
7675,37.61683,-122.0373,374.8,85776,96116
4540,37.62631,-122.0765,262.9,61314,72189
3920,37.62517,-122.0681,421.5,74924,90454
5368,37.62742,-122.0594,165.3,66111,77618
3731,37.62814,-122.0884,350.8,75984,86715
2331,37.62138,-122.0832,326.7,73375,78808
2310,37.59595,-122.0016,359.3,73100,79312
5989,37.60015,-122.0224,427.4,50232,58441
7312,37.60286,-122.0478,529.3,66408,77295
4674,37.58749,-122.0772,477.1,91696,97069
5883,37.58968,-122.0277,504.6,68377,80952
3310,37.5838,-122.0833,763.6,163125,164506
6496,37.59066,-122.0122,661.8,127231,134323
